"sno","user_query","intent"
51,"What are the symptoms of diabetes?","Symptom Inquiry"
52,"How is hypertension treated?","Treatment Inquiry"
53,"Can you tell me about the dosage for a specific medication?","Medication Information"
54,"How can I boost my immune system naturally?","Medical Advice"
55,"What's the weather like in London tomorrow?","Non-medical Queries"
56,"I have a sore throat and fever. What should I do?","Symptom Inquiry"
57,"What are the treatment options for allergies?","Treatment Inquiry"
58,"Are there any side effects of the flu vaccine?","Medication Information"
59,"Can you suggest ways to improve digestion?","Medical Advice"
60,"Tell me a fun fact!","Non-medical Queries"
61,"What are the symptoms of allergies?","Symptom Inquiry"
62,"How can I treat a sprained ankle at home?","Treatment Inquiry"
63,"Are there any side effects of antidepressants?","Medication Information"
64,"What are some stress-relieving techniques?","Medical Advice"
65,"Tell me an interesting fact about space!","Non-medical Queries"
66,"What are the symptoms of a common cold?","Symptom Inquiry"
67,"What are the treatment options for back pain?","Treatment Inquiry"
68,"Can you suggest over-the-counter pain relievers?","Medication Information"
69,"How can I improve my mental focus and concentration?","Medical Advice"
70,"What's the latest technology news?","Non-medical Queries"
71,"Why am I experiencing fatigue and weakness?","Symptom Inquiry"
72,"What are the treatment options for migraines?","Treatment Inquiry"
73,"Can you tell me about the side effects of allergy shots?","Medication Information"
74,"How can I boost my energy levels naturally?","Medical Advice"
75,"Tell me a fun fact about animals!","Non-medical Queries"
76,"What are the symptoms of a sinus infection?","Symptom Inquiry"
77,"What are the treatment options for anxiety disorders?","Treatment Inquiry"
78,"Are there any side effects of birth control pills?","Medication Information"
79,"Can you suggest relaxation techniques for stress relief?","Medical Advice"
80,"What's the latest book release?","Non-medical Queries"
81,"What are the symptoms of a stomach infection?","Symptom Inquiry"
82,"How is diabetes managed?","Treatment Inquiry"
83,"Can you tell me about the dosage for a specific antibiotic?","Medication Information"
84,"How can I improve my cardiovascular health?","Medical Advice"
85,"What's the weather forecast for this weekend?","Non-medical Queries"
86,"I have a sore throat and cough. What should I do?","Symptom Inquiry"
87,"What are the treatment options for skin conditions?","Treatment Inquiry"
88,"Are there any side effects of antihistamines?","Medication Information"
89,"Can you suggest exercises for better posture?","Medical Advice"
90,"Tell me an interesting historical fact!","Non-medical Queries"
91,"What are the symptoms of a urinary tract infection?","Symptom Inquiry"
92,"How can I relieve back pain at home?","Treatment Inquiry"
93,"Are there any side effects of allergy nasal sprays?","Medication Information"
94,"What are some natural remedies for headaches?","Medical Advice"
95,"Tell me a fun fact about famous scientists!","Non-medical Queries"
96,"What are the symptoms of a stomach ulcer?","Symptom Inquiry"
97,"What are the treatment options for depression in teenagers?","Treatment Inquiry"
98,"Can you tell me about the side effects of antibiotics?","Medication Information"
99,"How can I improve my digestive health?","Medical Advice"
100,"What's the latest fashion trend?","Non-medical Queries"
101,"Why am I experiencing chest pain?","Symptom Inquiry"
102,"What are the treatment options for acne?","Treatment Inquiry"
103,"Are there any side effects of pain relief creams?","Medication Information"
104,"How can I improve my sleep patterns?","Medical Advice"
105,"Tell me a fun fact about famous landmarks!","Non-medical Queries"
106,"What are the symptoms of anemia?","Symptom Inquiry"
107,"How is hypertension managed?","Treatment Inquiry"
108,"Can you tell me about the dosage for a specific antihistamine?","Medication Information"
109,"How can I boost my immune system during flu season?","Medical Advice"
110,"What's the latest technology gadget?","Non-medical Queries"
111,"What are the symptoms of a urinary tract infection?","Symptom Inquiry"
112,"How can I manage diabetes through diet?","Treatment Inquiry"
113,"Can you tell me about the side effects of birth control patches?","Medication Information"
114,"How can I reduce stress and anxiety naturally?","Medical Advice"
115,"What's the weather forecast for tomorrow?","Non-medical Queries"
116,"I have a sore throat and fever. Should I see a doctor?","Symptom Inquiry"
117,"What are the treatment options for arthritis?","Treatment Inquiry"
118,"Are there any side effects of antacids?","Medication Information"
119,"Can you suggest exercises for better flexibility?","Medical Advice"
120,"Tell me a fun fact about famous artists!","Non-medical Queries"
121,"What are the symptoms of a sinus infection?","Symptom Inquiry"
122,"How can I manage knee pain at home?","Treatment Inquiry"
123,"Are there any side effects of antiviral medications?","Medication Information"
124,"What are some natural remedies for stress relief?","Medical Advice"
125,"Tell me a fun fact about animals!","Non-medical Queries"
126,"What are the symptoms of a urinary tract infection?","Symptom Inquiry"
127,"What are the treatment options for anxiety in children?","Treatment Inquiry"
128,"Can you tell me about the side effects of antidepressants?","Medication Information"
129,"How can I improve my mental focus and concentration?","Medical Advice"
130,"What's the latest sports news?","Non-medical Queries"
131,"Why am I feeling fatigued all the time?","Symptom Inquiry"
132,"What are the treatment options for skin rashes?","Treatment Inquiry"
133,"Are there any side effects of allergy eye drops?","Medication Information"
134,"How can I improve my posture for better back health?","Medical Advice"
135,"Tell me a fun fact about famous inventors!","Non-medical Queries"
136,"What are the symptoms of a respiratory infection?","Symptom Inquiry"
137,"How is asthma managed?","Treatment Inquiry"
138,"Can you tell me about the dosage for a specific antacid?","Medication Information"
139,"How can I boost my energy levels naturally?","Medical Advice"
140,"What's the latest movie release?","Non-medical Queries"
141,"What are the symptoms of a migraine headache?","Symptom Inquiry"
142,"How can I manage hypertension through lifestyle changes?","Treatment Inquiry"
143,"Can you tell me about the side effects of allergy shots?","Medication Information"
144,"How can I improve my cardiovascular fitness?","Medical Advice"
145,"What's the weather forecast for this weekend?","Non-medical Queries"
146,"I have a sore throat and cough. What should I do?","Symptom Inquiry"
147,"What are the treatment options for joint pain?","Treatment Inquiry"
148,"Are there any side effects of antihistamines?","Medication Information"
149,"Can you suggest exercises for better posture?","Medical Advice"
150,"Tell me an interesting historical fact!","Non-medical Queries"
151,"What are the symptoms of a common cold?","Symptom Inquiry"
152,"How can I treat a sprained ankle at home?","Treatment Inquiry"
153,"Are there any side effects of allergy nasal sprays?","Medication Information"
154,"What are some natural remedies for headaches?","Medical Advice"
155,"Tell me a fun fact about famous scientists!","Non-medical Queries"
156,"What are the symptoms of a stomach ulcer?","Symptom Inquiry"
157,"What are the treatment options for depression in teenagers?","Treatment Inquiry"
158,"Can you tell me about the side effects of antibiotics?","Medication Information"
159,"How can I improve my digestive health?","Medical Advice"
160,"What's the latest fashion trend?","Non-medical Queries"
161,"Why am I experiencing chest pain?","Symptom Inquiry"
162,"What are the treatment options for acne?","Treatment Inquiry"
163,"Are there any side effects of pain relief creams?","Medication Information"
164,"How can I improve my sleep patterns?","Medical Advice"
165,"Tell me a fun fact about famous landmarks!","Non-medical Queries"
166,"What are the symptoms of anemia?","Symptom Inquiry"
167,"How is hypertension managed?","Treatment Inquiry"
168,"Can you tell me about the dosage for a specific antihistamine?","Medication Information"
169,"How can I boost my immune system during flu season?","Medical Advice"
170,"What's the latest technology gadget?","Non-medical Queries"
171,"What are the symptoms of a urinary tract infection?","Symptom Inquiry"
172,"How can I manage diabetes through diet?","Treatment Inquiry"
173,"Can you tell me about the side effects of birth control patches?","Medication Information"
174,"How can I reduce stress and anxiety naturally?","Medical Advice"
175,"What's the weather forecast for tomorrow?","Non-medical Queries"
176,"I have a sore throat and fever. Should I see a doctor?","Symptom Inquiry"
177,"What are the treatment options for arthritis?","Treatment Inquiry"
178,"Are there any side effects of antacids?","Medication Information"
179,"Can you suggest exercises for better flexibility?","Medical Advice"
180,"Tell me a fun fact about famous artists!","Non-medical Queries"
181,"What are the symptoms of the flu?","Symptom Inquiry"
182,"How can I relieve back pain at home?","Treatment Inquiry"
183,"Are there any side effects of allergy eye drops?","Medication Information"
184,"What are some natural remedies for stress relief?","Medical Advice"
185,"Tell me a fun fact about space!","Non-medical Queries"
186,"What are the symptoms of a cold?","Symptom Inquiry"
187,"What are the treatment options for joint pain?","Treatment Inquiry"
188,"Can you tell me about the side effects of antiviral medications?","Medication Information"
189,"How can I improve my mental focus and concentration?","Medical Advice"
190,"What's the latest sports news?","Non-medical Queries"
191,"Why am I feeling fatigued all the time?","Symptom Inquiry"
192,"What are the treatment options for acne?","Treatment Inquiry"
193,"Are there any side effects of pain relief creams?","Medication Information"
194,"How can I improve my sleep patterns?","Medical Advice"
195,"Tell me a fun fact about famous landmarks!","Non-medical Queries"
196,"What are the symptoms of a sinus infection?","Symptom Inquiry"
197,"How is asthma managed?","Treatment Inquiry"
198,"Can you tell me about the dosage for a specific antacid?","Medication Information"
199,"How can I boost my energy levels naturally?","Medical Advice"
200,"What's the latest movie release?","Non-medical Queries"
201,"What are the symptoms of a migraine headache?","Symptom Inquiry"
202,"How can I manage hypertension through lifestyle changes?","Treatment Inquiry"
203,"Can you tell me about the side effects of allergy shots?","Medication Information"
204,"How can I improve my cardiovascular fitness?","Medical Advice"
205,"What's the weather forecast for this weekend?","Non-medical Queries"
206,"I have a sore throat and cough. What should I do?","Symptom Inquiry"
207,"What are the treatment options for skin rashes?","Treatment Inquiry"
208,"Are there any side effects of antihistamines?","Medication Information"
209,"Can you suggest exercises for better posture?","Medical Advice"
210,"Tell me an interesting historical fact!","Non-medical Queries"
211,"What are the symptoms of a respiratory infection?","Symptom Inquiry"
212,"How is diabetes managed?","Treatment Inquiry"
213,"Can you tell me about the dosage for a specific antibiotic?","Medication Information"
214,"How can I improve my cardiovascular health?","Medical Advice"
215,"What's the weather forecast for tomorrow?","Non-medical Queries"
216,"I have a sore throat and fever. Should I see a doctor?","Symptom Inquiry"
217,"What are the treatment options for allergies?","Treatment Inquiry"
218,"Are there any side effects of the flu vaccine?","Medication Information"
219,"Can you suggest ways to improve digestion?","Medical Advice"
220,"Tell me a fun fact!","Non-medical Queries"
221,"What are the symptoms of COVID-19?","Symptom Inquiry"
222,"How can I manage neck pain at home?","Treatment Inquiry"
223,"Are there any side effects of allergy shots?","Medication Information"
224,"What are some natural remedies for anxiety relief?","Medical Advice"
225,"Tell me a fun fact about animals!","Non-medical Queries"
226,"What are the symptoms of a stomach infection?","Symptom Inquiry"
227,"What are the treatment options for insomnia?","Treatment Inquiry"
228,"Can you tell me about the side effects of antiviral medications?","Medication Information"
229,"How can I improve my cognitive function?","Medical Advice"
230,"What's the latest technology news?","Non-medical Queries"
231,"Why am I experiencing shortness of breath?","Symptom Inquiry"
232,"What are the treatment options for eczema?","Treatment Inquiry"
233,"Are there any side effects of pain relief gels?","Medication Information"
234,"How can I improve my overall well-being?","Medical Advice"
235,"Tell me a fun fact about famous landmarks!","Non-medical Queries"
236,"What are the symptoms of an allergic reaction?","Symptom Inquiry"
237,"How can I manage diabetes through lifestyle changes?","Treatment Inquiry"
238,"Can you tell me about the dosage for a specific antihistamine?","Medication Information"
239,"How can I boost my immune system naturally?","Medical Advice"
240,"What's the latest book release?","Non-medical Queries"
241,"What are the symptoms of a urinary tract infection?","Symptom Inquiry"
242,"How can I treat a common cold at home?","Treatment Inquiry"
243,"Are there any side effects of allergy eye drops?","Medication Information"
244,"How can I manage stress and anxiety naturally?","Medical Advice"
245,"What's the weather forecast for this week?","Non-medical Queries"
246,"I have a sore throat and body ache. Should I see a doctor?","Symptom Inquiry"
247,"What are the treatment options for joint inflammation?","Treatment Inquiry"
248,"Can you tell me about the side effects of antacids?","Medication Information"
249,"Can you suggest exercises for better flexibility?","Medical Advice"
250,"Tell me an interesting historical fact!","Non-medical Queries"
251,"What are the symptoms of a respiratory infection?","Symptom Inquiry"
252,"How is asthma managed?","Treatment Inquiry"
253,"Can you tell me about the dosage for a specific antibiotic?","Medication Information"
254,"How can I improve my cardiovascular health?","Medical Advice"
255,"What's the weather forecast for tomorrow?","Non-medical Queries"
256,"I have a sore throat and fever. Should I see a doctor?","Symptom Inquiry"
257,"What are the treatment options for skin rashes?","Treatment Inquiry"
258,"Are there any side effects of antihistamines?","Medication Information"
259,"Can you suggest exercises for better posture?","Medical Advice"
260,"Tell me an interesting historical fact!","Non-medical Queries"
261,"What are the symptoms of a respiratory infection?","Symptom Inquiry"
262,"How is diabetes managed?","Treatment Inquiry"
263,"Can you tell me about the dosage for a specific antibiotic?","Medication Information"
264,"How can I improve my cardiovascular health?","Medical Advice"
265,"What's the weather forecast for tomorrow?","Non-medical Queries"
266,"What are the symptoms of a common cold?","Symptom Inquiry"
267,"How can I treat a sprained ankle at home?","Treatment Inquiry"
268,"Are there any side effects of allergy nasal sprays?","Medication Information"
269,"What are some natural remedies for headaches?","Medical Advice"
270,"Tell me a fun fact about famous scientists!","Non-medical Queries"
271,"What are the symptoms of a stomach ulcer?","Symptom Inquiry"
272,"What are the treatment options for depression in teenagers?","Treatment Inquiry"
273,"Can you tell me about the side effects of antibiotics?","Medication Information"
274,"How can I improve my digestive health?","Medical Advice"
275,"What's the latest fashion trend?","Non-medical Queries"
276,"Why am I experiencing chest pain?","Symptom Inquiry"
277,"What are the treatment options for acne?","Treatment Inquiry"
278,"Are there any side effects of pain relief creams?","Medication Information"
279,"How can I improve my sleep patterns?","Medical Advice"
280,"Tell me a fun fact about famous landmarks!","Non-medical Queries"
281,"What are the symptoms of anemia?","Symptom Inquiry"
282,"How is hypertension managed?","Treatment Inquiry"
283,"Can you tell me about the dosage for a specific antacid?","Medication Information"
284,"How can I boost my immune system during flu season?","Medical Advice"
285,"What's the latest technology gadget?","Non-medical Queries"
286,"What are the symptoms of a urinary tract infection?","Symptom Inquiry"
287,"How can I manage diabetes through diet?","Treatment Inquiry"
288,"Can you tell me about the side effects of birth control patches?","Medication Information"
289,"How can I reduce stress and anxiety naturally?","Medical Advice"
290,"What's the weather forecast for tomorrow?","Non-medical Queries"
291,"I have a sore throat and fever. Should I see a doctor?","Symptom Inquiry"
292,"What are the treatment options for arthritis?","Treatment Inquiry"
293,"Are there any side effects of antacids?","Medication Information"
294,"Can you suggest exercises for better flexibility?","Medical Advice"
295,"Tell me a fun fact about famous artists!","Non-medical Queries"
296,"What are the symptoms of a sinus infection?","Symptom Inquiry"
297,"How is asthma managed?","Treatment Inquiry"
298,"Can you tell me about the dosage for a specific antihistamine?","Medication Information"
299,"How can I improve my cardiovascular fitness?","Medical Advice"
300,"What's the weather forecast for this weekend?","Non-medical Queries"
301,"I have a sore throat and cough. What should I do?","Symptom Inquiry"
302,"What are the treatment options for joint pain?","Treatment Inquiry"
303,"Are there any side effects of antihistamines?","Medication Information"
304,"Can you suggest exercises for better posture?","Medical Advice"
305,"Tell me an interesting historical fact!","Non-medical Queries"
306,"What are the symptoms of a respiratory infection?","Symptom Inquiry"
307,"How is diabetes managed?","Treatment Inquiry"
308,"Can you tell me about the dosage for a specific antibiotic?","Medication Information"
309,"How can I improve my cardiovascular health?","Medical Advice"
310,"What's the weather forecast for tomorrow?","Non-medical Queries"
311,"What are the symptoms of COVID-19?","Symptom Inquiry"
312,"How can I manage neck pain at home?","Treatment Inquiry"
313,"Are there any side effects of allergy shots?","Medication Information"
314,"What are some natural remedies for anxiety relief?","Medical Advice"
315,"Tell me a fun fact about animals!","Non-medical Queries"
316,"What are the symptoms of a stomach infection?","Symptom Inquiry"
317,"What are the treatment options for insomnia?","Treatment Inquiry"
318,"Can you tell me about the side effects of antiviral medications?","Medication Information"
319,"How can I improve my cognitive function?","Medical Advice"
320,"What's the latest technology news?","Non-medical Queries"
321,"Why am I experiencing shortness of breath?","Symptom Inquiry"
322,"What are the treatment options for eczema?","Treatment Inquiry"
323,"Are there any side effects of pain relief gels?","Medication Information"
324,"How can I improve my overall well-being?","Medical Advice"
325,"Tell me a fun fact about famous landmarks!","Non-medical Queries"
326,"What are the symptoms of an allergic reaction?","Symptom Inquiry"
327,"How can I manage diabetes through lifestyle changes?","Treatment Inquiry"
328,"Can you tell me about the dosage for a specific antihistamine?","Medication Information"
329,"How can I boost my immune system naturally?","Medical Advice"
330,"What's the latest book release?","Non-medical Queries"
331,"What are the symptoms of a urinary tract infection?","Symptom Inquiry"
332,"How can I treat a common cold at home?","Treatment Inquiry"
333,"Are there any side effects of allergy eye drops?","Medication Information"
334,"How can I manage stress and anxiety naturally?","Medical Advice"
335,"What's the weather forecast for this week?","Non-medical Queries"
336,"I have a sore throat and body ache. Should I see a doctor?","Symptom Inquiry"
337,"What are the treatment options for joint inflammation?","Treatment Inquiry"
338,"Can you tell me about the side effects of antacids?","Medication Information"
339,"Can you suggest exercises for better flexibility?","Medical Advice"
340,"Tell me an interesting historical fact!","Non-medical Queries"
341,"What are the symptoms of a respiratory infection?","Symptom Inquiry"
342,"How is asthma managed?","Treatment Inquiry"
343,"Can you tell me about the dosage for a specific antibiotic?","Medication Information"
344,"How can I improve my cardiovascular health?","Medical Advice"
345,"What's the weather forecast for tomorrow?","Non-medical Queries"
346,"I have a sore throat and fever. Should I see a doctor?","Symptom Inquiry"
347,"What are the treatment options for skin rashes?","Treatment Inquiry"
348,"Are there any side effects of antihistamines?","Medication Information"
349,"Can you suggest exercises for better posture?","Medical Advice"
350,"Tell me an interesting historical fact!","Non-medical Queries"
351,"What are the symptoms of a respiratory infection?","Symptom Inquiry"
352,"How is diabetes managed?","Treatment Inquiry"
353,"Can you tell me about the dosage for a specific antibiotic?","Medication Information"
354,"How can I improve my cardiovascular health?","Medical Advice"
355,"What's the weather forecast for tomorrow?","Non-medical Queries"
356,"What are the symptoms of a common cold?","Symptom Inquiry"
357,"How can I treat a sprained ankle at home?","Treatment Inquiry"
358,"Are there any side effects of allergy nasal sprays?","Medication Information"
359,"What are some natural remedies for headaches?","Medical Advice"
360,"Tell me a fun fact about famous scientists!","Non-medical Queries"
361,"What are the symptoms of a stomach ulcer?","Symptom Inquiry"
362,"What are the treatment options for depression in teenagers?","Treatment Inquiry"
363,"Can you tell me about the side effects of antibiotics?","Medication Information"
364,"How can I improve my digestive health?","Medical Advice"
365,"What's the latest fashion trend?","Non-medical Queries"
366,"Why am I experiencing chest pain?","Symptom Inquiry"
367,"What are the treatment options for acne?","Treatment Inquiry"
368,"Are there any side effects of pain relief creams?","Medication Information"
369,"How can I improve my sleep patterns?","Medical Advice"
370,"Tell me a fun fact about famous landmarks!","Non-medical Queries"
371,"What are the symptoms of anemia?","Symptom Inquiry"
372,"How is hypertension managed?","Treatment Inquiry"
373,"Can you tell me about the dosage for a specific antacid?","Medication Information"
374,"How can I boost my immune system during flu season?","Medical Advice"
375,"What's the latest technology gadget?","Non-medical Queries"
376,"What are the symptoms of a urinary tract infection?","Symptom Inquiry"
377,"How can I manage diabetes through diet?","Treatment Inquiry"
378,"Can you tell me about the side effects of birth control patches?","Medication Information"
379,"How can I reduce stress and anxiety naturally?","Medical Advice"
380,"What's the weather forecast for tomorrow?","Non-medical Queries"
381,"I have a sore throat and fever. Should I see a doctor?","Symptom Inquiry"
382,"What are the treatment options for arthritis?","Treatment Inquiry"
383,"Are there any side effects of antacids?","Medication Information"
384,"Can you suggest exercises for better flexibility?","Medical Advice"
385,"Tell me a fun fact about famous artists!","Non-medical Queries"
386,"What are the symptoms of a sinus infection?","Symptom Inquiry"
387,"How is asthma managed?","Treatment Inquiry"
388,"Can you tell me about the dosage for a specific antihistamine?","Medication Information"
389,"How can I improve my cardiovascular fitness?","Medical Advice"
390,"What's the weather forecast for this weekend?","Non-medical Queries"
391,"I have a sore throat and cough. What should I do?","Symptom Inquiry"
392,"What are the treatment options for joint pain?","Treatment Inquiry"
393,"Are there any side effects of antihistamines?","Medication Information"
394,"Can you suggest exercises for better posture?","Medical Advice"
395,"Tell me an interesting historical fact!","Non-medical Queries"
396,"What are the symptoms of a respiratory infection?","Symptom Inquiry"
397,"How is diabetes managed?","Treatment Inquiry"
398,"Can you tell me about the dosage for a specific antibiotic?","Medication Information"
399,"How can I improve my cardiovascular health?","Medical Advice"
400,"What's the weather forecast for tomorrow?","Non-medical Queries"
401,"What are the signs of a concussion?","Symptom Inquiry"
402,"How can I relieve back pain naturally?","Treatment Inquiry"
403,"Are there any side effects of herbal supplements?","Medication Information"
404,"What are some stress-relief techniques for students?","Medical Advice"
405,"Tell me an interesting fact about the human body!","Non-medical Queries"
406,"What are the symptoms of a kidney infection?","Symptom Inquiry"
407,"What are the treatment options for anxiety disorders?","Treatment Inquiry"
408,"Can you tell me about the side effects of migraine medications?","Medication Information"
409,"How can I improve my mental well-being?","Medical Advice"
410,"What's the latest movie release?","Non-medical Queries"
411,"Why am I experiencing stomach cramps?","Symptom Inquiry"
412,"What are the treatment options for allergies?","Treatment Inquiry"
413,"Are there any side effects of topical corticosteroids?","Medication Information"
414,"How can I improve my respiratory health?","Medical Advice"
415,"Tell me an interesting fact about space exploration!","Non-medical Queries"
416,"What are the symptoms of food poisoning?","Symptom Inquiry"
417,"How is high blood pressure managed?","Treatment Inquiry"
418,"Can you tell me about the dosage for a specific painkiller?","Medication Information"
419,"How can I improve my sleep quality?","Medical Advice"
420,"What's the latest technology innovation?","Non-medical Queries"
421,"What are the symptoms of an allergic reaction?","Symptom Inquiry"
422,"How can I manage diabetes during holidays?","Treatment Inquiry"
423,"Can you tell me about the side effects of allergy eye drops?","Medication Information"
424,"How can I cope with stress and anxiety?","Medical Advice"
425,"What's the weather forecast for this month?","Non-medical Queries"
426,"I have a sore throat and body ache. Should I see a doctor?","Symptom Inquiry"
427,"What are the treatment options for skin conditions?","Treatment Inquiry"
428,"Are there any side effects of antihistamines?","Medication Information"
429,"Can you suggest exercises for better posture?","Medical Advice"
430,"Tell me an interesting fact about famous historical events!","Non-medical Queries"
431,"What are the symptoms of a respiratory infection?","Symptom Inquiry"
432,"How is diabetes managed?","Treatment Inquiry"
433,"Can you tell me about the dosage for a specific antibiotic?","Medication Information"
434,"How can I improve my cardiovascular health?","Medical Advice"
435,"What's the weather forecast for tomorrow?","Non-medical Queries"
436,"I have a sore throat and fever. Should I see a doctor?","Symptom Inquiry"
437,"What are the treatment options for joint inflammation?","Treatment Inquiry"
438,"Are there any side effects of antihistamines?","Medication Information"
439,"Can you suggest exercises for better posture?","Medical Advice"
440,"Tell me an interesting fact about famous historical events!","Non-medical Queries"
441,"What are the symptoms of a respiratory infection?","Symptom Inquiry"
442,"How is diabetes managed?","Treatment Inquiry"
443,"Can you tell me about the dosage for a specific antibiotic?","Medication Information"
444,"How can I improve my cardiovascular health?","Medical Advice"
445,"What's the weather forecast for tomorrow?","Non-medical Queries"
446,"What are the symptoms of a common cold?","Symptom Inquiry"
447,"How can I treat a sprained ankle at home?","Treatment Inquiry"
448,"Are there any side effects of allergy nasal sprays?","Medication Information"
449,"What are some natural remedies for headaches?","Medical Advice"
450,"Tell me an interesting fact about famous scientists!","Non-medical Queries"
451,"What are the symptoms of a stomach ulcer?","Symptom Inquiry"
452,"What are the treatment options for depression in teenagers?","Treatment Inquiry"
453,"Can you tell me about the side effects of antibiotics?","Medication Information"
454,"How can I improve my digestive health?","Medical Advice"
455,"What's the latest fashion trend?","Non-medical Queries"
456,"Why am I experiencing chest pain?","Symptom Inquiry"
457,"What are the treatment options for acne?","Treatment Inquiry"
458,"Are there any side effects of pain relief creams?","Medication Information"
459,"How can I improve my sleep patterns?","Medical Advice"
460,"Tell me an interesting fact about famous landmarks!","Non-medical Queries"
461,"What are the symptoms of anemia?","Symptom Inquiry"
462,"How is hypertension managed?","Treatment Inquiry"
463,"Can you tell me about the dosage for a specific antacid?","Medication Information"
464,"How can I boost my immune system during flu season?","Medical Advice"
465,"What's the latest technology gadget?","Non-medical Queries"
466,"What are the symptoms of a urinary tract infection?","Symptom Inquiry"
467,"How can I manage diabetes through diet?","Treatment Inquiry"
468,"Can you tell me about the side effects of birth control patches?","Medication Information"
469,"How can I reduce stress and anxiety naturally?","Medical Advice"
470,"What's the weather forecast for tomorrow?","Non-medical Queries"
471,"I have a sore throat and fever. Should I see a doctor?","Symptom Inquiry"
472,"What are the treatment options for arthritis?","Treatment Inquiry"
473,"Are there any side effects of antacids?","Medication Information"
474,"Can you suggest exercises for better flexibility?","Medical Advice"
475,"Tell me an interesting fact about famous artists!","Non-medical Queries"
476,"What are the symptoms of a sinus infection?","Symptom Inquiry"
477,"How is asthma managed?","Treatment Inquiry"
478,"Can you tell me about the dosage for a specific antihistamine?","Medication Information"
479,"How can I improve my cardiovascular fitness?","Medical Advice"
480,"What's the weather forecast for this weekend?","Non-medical Queries"
481,"I have a sore throat and cough. What should I do?","Symptom Inquiry"
482,"What are the treatment options for joint pain?","Treatment Inquiry"
483,"Are there any side effects of antihistamines?","Medication Information"
484,"Can you suggest exercises for better posture?","Medical Advice"
485,"Tell me an interesting fact about famous historical events!","Non-medical Queries"
486,"What are the symptoms of a respiratory infection?","Symptom Inquiry"
487,"How is diabetes managed?","Treatment Inquiry"
488,"Can you tell me about the dosage for a specific antibiotic?","Medication Information"
489,"How can I improve my cardiovascular health?","Medical Advice"
490,"What's the weather forecast for tomorrow?","Non-medical Queries"
491,"What are the symptoms of a migraine headache?","Symptom Inquiry"
492,"How can I relieve muscle pain after a workout?","Treatment Inquiry"
493,"Are there any side effects of antiviral medications?","Medication Information"
494,"What are some tips for a healthy diet?","Medical Advice"
495,"Tell me an interesting fact about the human brain!","Non-medical Queries"
496,"What are the symptoms of a urinary tract infection?","Symptom Inquiry"
497,"What are the treatment options for anxiety disorders?","Treatment Inquiry"
498,"Can you tell me about the side effects of allergy eye drops?","Medication Information"
499,"How can I improve my mental well-being?","Medical Advice"
500,"What's the latest movie release?","Non-medical Queries"
501,"Why am I experiencing stomach cramps?","Symptom Inquiry"
502,"What are the treatment options for skin conditions?","Treatment Inquiry"
503,"Are there any side effects of topical corticosteroids?","Medication Information"
